title,summary
The Sixth Sense,"The Sixth Sense is a 1999 American supernatural psychological thriller film written and directed by M. Night Shyamalan. The film tells the story of Cole Sear (Haley Joel Osment), a boy who is able to see and talk to the dead, and Malcolm Crowe (Bruce Willis), a child psychologist who tries to help him. The film established Shyamalan as a writer and director, and introduced the cinema public to his traits, most notably his affinity for surprise endings.Released by Hollywood Pictures on August 6, 1999, the film was well-received by critics; praise was given to its acting performances (particularly Willis, Osment, and Toni Collette), atmosphere, and twist conclusion. The Sixth Sense was the second-highest-grossing film of 1999 (behind Star Wars: Episode I – The Phantom Menace), taking about $293 million in the US and $379 million in other markets.
The film was nominated for six Academy Awards, including Best Picture, Best Director and Best Original Screenplay for Shyamalan, Best Supporting Actor for Osment, and Best Supporting Actress for Collette."
Reservoir Dogs,"Reservoir Dogs is a 1992 American independent crime film written and directed by Quentin Tarantino in his feature-length debut. It stars Harvey Keitel, Tim Roth, Chris Penn, Steve Buscemi, Lawrence Tierney, Michael Madsen, Tarantino, and Edward Bunker, as diamond thieves whose planned heist of a jewelry store goes terribly wrong. The film depicts the events before and after the heist. Kirk Baltz, Randy Brooks and Steven Wright also play supporting roles. It incorporates many motifs that have become Tarantino's hallmarks: violent crime, pop culture references, profanity, and nonlinear storytelling.
The film is regarded as a classic of independent film and a cult film, and was named ""Greatest Independent Film of all Time"" by Empire. Although controversial for its depictions of violence and use of profanity, Reservoir Dogs was generally well received, with the cast being praised by many critics. Despite not being heavily promoted during its theatrical run, the film became a modest success in the United States after grossing $2.8 million against its $1.2 million budget, and was more successful in the United Kingdom, grossing nearly £6.5 million. It achieved higher popularity after the success of Tarantino's next film, Pulp Fiction (1994). A soundtrack was released featuring songs used in the film, which are mostly from the 1970s."
Forrest Gump,"Forrest Gump is a 1994 American comedy-drama film directed by Robert Zemeckis and written by Eric Roth. It is based on the 1986 novel of the same name by Winston Groom and stars Tom Hanks, Robin Wright, Gary Sinise, Mykelti Williamson and Sally Field. The story depicts several decades in the life of Forrest Gump (Hanks), a slow-witted but kind-hearted man from Alabama who witnesses and unwittingly influences several defining historical events in the 20th century United States. The film differs substantially from the novel.
Principal photography took place in late 1993, mainly in Georgia, North Carolina and South Carolina. Extensive visual effects were used to incorporate Hanks into archived footage and to develop other scenes. The soundtrack features songs reflecting the different periods seen in the film.
Forrest Gump was released in the United States on July 6, 1994 and received favorable reviews for Zemeckis' directing, Sinise and Hanks' performances, the visual effects, the music and the screenplay. The film was an enormous success at the box office; it became the top-grossing film in America released that year and earned over US$677 million worldwide during its theatrical run, making it the second highest-grossing film of 1994, behind The Lion King. The soundtrack sold over 12 million copies. Forrest Gump won the Academy Awards for Best Picture, Best Director, Best Actor for Hanks, Best Adapted Screenplay, Best Visual Effects, and Best Film Editing. It received many award nominations, including Golden Globes, British Academy Film Awards and Screen Actors Guild Awards.
Varying interpretations have been made of the protagonist and the film's political symbolism. In 2011, the Library of Congress selected the film for preservation in the United States National Film Registry as being ""culturally, historically, or aesthetically significant""."
Indiana Jones and the Temple of Doom,"Indiana Jones and the Temple of Doom is a 1984 American action-adventure film directed by Steven Spielberg. It is the second installment in the Indiana Jones franchise and a prequel to the 1981 film Raiders of the Lost Ark, featuring Harrison Ford reprising his role as the title character. After arriving in India, Indiana Jones is asked by desperate villagers to find a mystical stone and rescue their children from a Thuggee cult practicing child slavery, black magic and ritualistic human sacrifice in honor of the goddess Kali.
Not wishing to feature the Nazis as the villains again, George Lucas, executive producer and co-writer, decided to regard this film as a prequel. Three plot devices were rejected before Lucas wrote a film treatment that resembled the final storyline. Lawrence Kasdan, Lucas' collaborator on Raiders of the Lost Ark, turned down the offer to write the script, and Willard Huyck and Gloria Katz were hired as his replacements, who had previously worked with Lucas. The film was released to financial success but initial reviews were mixed, criticizing its dark tone. However, critical opinion has improved since 1984, citing the film's intensity and imagination. In response to some of the more violent sequences in the film, and with similar complaints about Gremlins, Spielberg suggested that the Motion Picture Association of America (MPAA) alter its rating system, which it did within two months of the film's release, creating a new PG-13 rating.It was released to cinemas in the USA on May 23, 1984. Indiana Jones and the Last Crusade followed in 1989."
Guardians of the Galaxy Vol. 2,"Guardians of the Galaxy Vol. 2 is a 2017 American superhero film  based on the Marvel Comics superhero team Guardians of the Galaxy, produced by Marvel Studios and distributed by Walt Disney Studios Motion Pictures. It is the sequel to Guardians of the Galaxy (2014) and the 15th film in the Marvel Cinematic Universe (MCU). Written and directed by James Gunn, the film stars an ensemble cast featuring Chris Pratt, Zoe Saldana, Dave Bautista, Vin Diesel, Bradley Cooper, Michael Rooker, Karen Gillan, Pom Klementieff, Elizabeth Debicki, Chris Sullivan, Sean Gunn, Sylvester Stallone, and Kurt Russell. In Guardians of the Galaxy Vol. 2, the Guardians travel throughout the cosmos as they help Peter Quill learn more about his mysterious parentage.
The film was officially announced at the 2014 San Diego Comic-Con International before the theatrical release of the first film, along with James Gunn's return from the first film, with the title of the sequel revealed a year later in June 2015. Principal photography began in February 2016 at Pinewood Atlanta Studios in Fayette County, Georgia, with many crew changes from the first film due to other commitments. Filming concluded in June 2016. James Gunn chose to set the sequel shortly after the first film to explore the characters' new roles as the Guardians, and to follow the storyline of Quill's father established throughout that previous film. Russell was confirmed as Quill's father in July 2016, portraying Ego, a departure from Quill's comic father.
Guardians of the Galaxy Vol. 2 premiered in Tokyo on April 10, 2017, and was released in the United States on May 5, 2017, as part of Phase Three of the MCU. It grossed more than $863 million worldwide, making it the eighth-highest-grossing film of 2017, while also outgrossing its predecessor. The film received praise for its visuals, direction, soundtrack, humor, and performances (particularly those of Rooker and Russell), though some critics deemed it inferior to the original. It received a nomination for Best Visual Effects at the 90th Academy Awards. A sequel, Guardians of the Galaxy Vol. 3 is in development, with Gunn returning as writer and director."
Django Unchained,"Django Unchained () is a 2012 American revisionist Western film written and directed by Quentin Tarantino, starring Jamie Foxx, Christoph Waltz, Leonardo DiCaprio, Kerry Washington, and Samuel L. Jackson, with Walton Goggins, Dennis Christopher, James Remar, Michael Parks, and Don Johnson in supporting roles. Set in the Old West and Antebellum South, it is a highly-stylized, heavily-revisionist tribute to Spaghetti Westerns, in particular the 1966 Italian film Django by Sergio Corbucci, whose star Franco Nero has a cameo appearance.
Development of Django Unchained began in 2007 when Tarantino was writing a book on Corbucci. By April 2011, Tarantino sent his final draft of the script to The Weinstein Company. Casting began in the summer of 2011, with Michael K. Williams and Will Smith being considered for the role of the title character before Foxx was cast. Principal photography took place from November 2011 to March 2012 in California, Wyoming, and Louisiana.
Django Unchained premiered at the Ziegfeld Theatre in New York City on December 11, 2012 and was theatrically released on December 25, 2012 in the United States, grossing over $425 million worldwide against its $100 million budget, becoming Tarantino's highest-grossing movie to date. The film received numerous awards and nominations, as well as five nominations at the 85th Academy Awards, including Best Picture. Waltz won several awards for his performance, among them Best Supporting Actor at the Academy Awards, Golden Globes and BAFTAs. For his screenplay, Tarantino won an Academy Award, a Golden Globe, and a BAFTA."
The Predator (film),"The Predator is a 2018 American science fiction action film directed by Shane Black and written by Black and Fred Dekker. It is the fourth installment in the Predator franchise. Black had a supporting role in the original film, while John Davis returns as producer from the first three installments. Starring Boyd Holbrook, Trevante Rhodes, Jacob Tremblay, Keegan-Michael Key, Olivia Munn, Thomas Jane, Alfie Allen, and Sterling K. Brown, it follows a group of PTSD-afflicted soldiers and a scientist who must team up to fight off an invading pair of Predators and prevent them from bringing extinction to mankind.
Talks of a new Predator installment began in June 2014, with Black being confirmed as writer and director; much of the cast signed on between October 2016 and January 2017. Filming took place in British Columbia from February to June 2017, with the entire climax being re-written and re-shot in July 2018 following poor test screenings.
The Predator premiered at the Toronto International Film Festival on September 6, 2018, and was theatrically released in the United States on September 14, 2018, by 20th Century Fox, in IMAX and Dolby Cinema, as well as standard formats. The film received mixed reviews and went on to earn $160 million worldwide, becoming the highest grossing film in the franchise."
The Kids Are All Right (film),"The Kids Are All Right is a 2010 American comedy-drama film directed by Lisa Cholodenko and written by Cholodenko and Stuart Blumberg. It is among the first mainstream movies to show a same-sex couple raising two teenagers.  A hit at the 2010 Sundance Film Festival, it opened in limited release on July 9, 2010, expanding to more theaters on July 30, 2010. It was released on DVD and Blu-ray on November 16, 2010. The film was awarded the Golden Globe Award for Best Motion Picture - Musical or Comedy, and Annette Bening was awarded the Golden Globe Award for Best Actress – Motion Picture Musical or Comedy. The film also received four Academy Award nominations, including one for Best Picture, at the 83rd Academy Awards."
"The Good, the Bad and the Ugly","The Good, the Bad and the Ugly (Italian: Il buono, il brutto, il cattivo, lit. '""The good, the ugly, the bad""') is a 1966 Italian epic Spaghetti Western film directed by Sergio Leone and starring Clint Eastwood as ""the Good"", Lee Van Cleef as ""the Bad"", and Eli Wallach as ""the Ugly"". Its screenplay was written by Age & Scarpelli, Luciano Vincenzoni and Leone (with additional screenplay material and dialogue provided by an uncredited Sergio Donati), based on a story by Vincenzoni and Leone. Director of photography Tonino Delli Colli was responsible for the film's sweeping widescreen cinematography, and Ennio Morricone composed the film's score including its main theme. It is an Italian-led production with co-producers in Spain, West Germany and the United States.
The film is known for Leone's use of long shots and close-up cinematography, as well as his distinctive use of violence, tension, and stylistic gunfights. The plot revolves around three gunslingers competing to find fortune in a buried cache of Confederate gold amid the violent chaos of the American Civil War (specifically the New Mexico Campaign in 1862), while participating in many battles and duels along the way. The film was the third collaboration between Leone and Clint Eastwood, and the second with Lee Van Cleef.
The Good, the Bad and the Ugly was marketed as the third and final instalment in the Dollars Trilogy, following A Fistful of Dollars and For a Few Dollars More. The film was a financial success, grossing over $25 million at the box office, and is credited with having catapulted Eastwood into stardom. Due to general disapproval of the Spaghetti Western genre at the time, critical reception of the film following its release was mixed, but it gained critical acclaim in later years. The Good, the Bad and the Ugly is now seen as one of the greatest and most influential Western movies ever made.

"
Finding Nemo,"Finding Nemo is a 2003 American computer-animated adventure film produced by Pixar Animation Studios and released by Walt Disney Pictures. Directed and co-written by Andrew Stanton with co-direction by Lee Unkrich, the screenplay was written by Bob Peterson, David Reynolds, and Stanton from a story by Stanton. The film stars the voices of Albert Brooks, Ellen DeGeneres, Alexander Gould, and Willem Dafoe. It tells the story of an overprotective clownfish named Marlin, who, along with a regal blue tang named Dory searches for his missing son Nemo. Along the way, Marlin learns to take risks and comes to terms with Nemo taking care of himself.
Finding Nemo was released on May 30, 2003, to positive reviews with praise to its animation, story, characters, and voice acting. The film won the Academy Award for Best Animated Feature, the first Pixar film to do so. It was also nominated in three more categories, including Best Original Screenplay. Additionally, it became the highest-grossing animated film at the time of its release, and was the second-highest-grossing film of 2003, earning a total of $871 million worldwide by the end of its initial theatrical run.Finding Nemo is the best-selling DVD title of all time, with over 40 million copies sold as of 2006, and was the highest-grossing G-rated film of all time before Pixar's own Toy Story 3 overtook it. The film was re-released in 3D in 2012. In 2008, the American Film Institute named it as the 10th greatest animated film ever made as part of their 10 Top 10 lists. In a 2016 poll of international critics conducted by BBC, Finding Nemo was voted one of the 100 greatest motion pictures since 2000. A sequel, Finding Dory, was released on June 17, 2016 in the United States."
Star Trek VI: The Undiscovered Country,"Star Trek VI: The Undiscovered Country is a 1991 American science fiction film directed by Nicholas Meyer. It is the sixth feature film based on Star Trek, and a sequel to the 1966–1969 Star Trek television series. Taking place after the events of Star Trek V: The Final Frontier, it is the last film featuring the entire cast of the original series. After the destruction of the Klingon moon Praxis leads the Klingon Empire to pursue peace with their longtime adversary the Federation, the crew of the USS Enterprise must race against unseen conspirators with a militaristic agenda.
The sixth film in the series was initially planned as a prequel to the original series, with younger actors portraying the crew of the Enterprise while attending Starfleet Academy, but the idea was discarded because of negative reaction from the original cast and the fans. Faced with producing a new film in time for Star Trek's 25th anniversary, Meyer, who previously directed Star Trek II: The Wrath of Khan (1982), and Denny Martin Flinn wrote a script based on a suggestion from Leonard Nimoy about what would happen if ""the Wall came down in space"", touching on the contemporary events of the Cold War.
Principal photography took place between April and September 1991. The production budget was smaller than anticipated because of the critical and commercial disappointment of The Final Frontier. Because of a lack of sound stage space on the Paramount lot, many scenes were filmed around Hollywood. Meyer and cinematographer Hiro Narita aimed for a darker and more dramatic mood, subtly altering sets originally used for the television series Star Trek: The Next Generation. Producer Steven-Charles Jaffe led a second unit that filmed on an Alaskan glacier that stood in for a Klingon gulag. Cliff Eidelman produced the film's score, which is intentionally darker than previous Star Trek offerings.
Star Trek VI: The Undiscovered Country was released in North America on December 6, 1991. It garnered positive reviews, with publications praising the lighthearted acting and facetious references, and performed strongly at the box office. It posted the largest opening weekend gross of the series before going on to earn $96,888,996 worldwide. The film earned two Oscar nominations, for Best Makeup and Best Sound Effects, and is the only Star Trek movie to win the Saturn Award for Best Science Fiction Film. A special collectors' edition DVD version of the film was released in 2004, to which Meyer made minor alterations. Star Trek creator Gene Roddenberry died shortly before the movie's premiere, just days after viewing the film."
Taxi Driver,"Taxi Driver is a 1976 American neo-noir psychological thriller drama film directed by Martin Scorsese, written by Paul Schrader, and starring Robert De Niro, Jodie Foster, Cybill Shepherd, Harvey Keitel, Peter Boyle, Leonard Harris and Albert Brooks. Set in a decaying and morally bankrupt New York City following the Vietnam War, the film tells the story of Travis Bickle (De Niro), a lonely taxi driver who descends into insanity as he plots to assassinate both the presidential candidate (Harris) for whom the woman (Shepherd) he is infatuated with works, and the pimp (Keitel) of an underage prostitute (Foster) he befriends.
A critical and commercial success upon release and nominated for four Academy Awards, including for Best Picture, Best Actor (for De Niro) and Best Supporting Actress (for Foster), Taxi Driver won the Palme d'Or at the 1976 Cannes Film Festival. The film generated controversy at the time of its release for its depiction of violence and casting of a 12-year-old Foster in the role of a child prostitute.
In 2012, Sight & Sound named it the 31st-best film ever in its decennial critics' poll, ranked with The Godfather Part II, and the fifth-greatest film of all time on its directors' poll. The film was considered ""culturally, historically or aesthetically"" significant by the US Library of Congress and was selected for preservation in the National Film Registry in 1994."
Hancock (film),"Hancock is a 2008 American superhero film directed by Peter Berg and starring Will Smith, Charlize Theron, and Jason Bateman. It tells the story of a vigilante superhero, John Hancock (Smith) from Los Angeles whose reckless actions routinely cost the city millions of dollars. Eventually one person he saves, Ray Embrey (Bateman), makes it his mission to change Hancock's public image for the better.
The story was originally written by Vincent Ngo in 1996. It languished in ""development hell"" for years with various directors attached, including Tony Scott, Michael Mann, Jonathan Mostow, and Gabriele Muccino, before being filmed in 2007 in Los Angeles with a production budget of $150 million.
In the United States, the film was rated PG-13 by the Motion Picture Association of America after changes were made at their request in order to avoid an R rating, which it had received twice before. The film was released on July 2, 2008 in the United States by Columbia Pictures. Hancock received mixed reviews from critics who praised its performances and premise, but criticized its execution and failure to deliver on its potential, especially during its second half. It grossed $624 million worldwide, becoming the fourth highest-grossing film of 2008.

"
Titanic (1997 film),"Titanic (1997 film)    Titanic is a 1997 American epic romance and di...
Titanic (1997 film)    Titanic is a 1997 American epic romance and di...
dtype: object"
Lost in Translation (film),"Lost in Translation is a 2003 comedy-drama film written and directed by Sofia Coppola. It stars Bill Murray as middle-aged actor Bob Harris, who befriends college graduate Charlotte (Scarlett Johansson) in a Tokyo hotel. The movie explores themes of loneliness, insomnia, existential ennui, and culture shock against the backdrop of a modern Japanese city.
Lost in Translation was nominated for four Academy Awards, including Best Picture, Best Actor for Bill Murray, and Best Director for Coppola; Coppola won for Best Original Screenplay. Murray and Johansson each won a BAFTA award for Best Actor in a Leading Role and Best Actress in a Leading Role respectively. A commercial success, the film was praised for Coppola's direction and the performances of Murray and Johansson, although its depiction of Japanese citizens received some criticism. It grossed $119 million on a budget of $4 million."
X-Men: The Last Stand,"X-Men: The Last Stand (also marketed as X3) is a 2006 superhero film based on the X-Men superhero team introduced in Marvel Comics. It is the sequel to 2003's X2, as well as the third installment in the X-Men film series, and was directed by Brett Ratner and written by Simon Kinberg and Zak Penn. It features an ensemble cast including Hugh Jackman, Halle Berry, Ian McKellen, Famke Janssen, Anna Paquin, Kelsey Grammer, James Marsden, Rebecca Romijn, Shawn Ashmore, Aaron Stanford, Vinnie Jones and Patrick Stewart. The film's script is loosely based on two X-Men comic book story arcs: ""The Dark Phoenix Saga"" by writer Chris Claremont and artist John Byrne, and ""Gifted"" by writer Joss Whedon and artist John Cassaday, with a plot that revolves around a ""mutant cure"" that causes serious repercussions among mutants and humans, and on the resurrection of Jean Grey.
Bryan Singer, who had directed the two previous films, X-Men (2000) and X2, decided to leave the sequel to work on Superman Returns. X2 composer John Ottman and X2 writers Dan Harris and Michael Dougherty also left to work on Superman Returns, as did James Marsden, who had very limited screen time in The Last Stand before his character was killed off due to his departure from the film. Singer had not even defined the storyline for a third film. Matthew Vaughn, who was initially hired as the new director, left due to personal and professional issues, and was replaced with Ratner. Filming took place from August 2005 to January 2006 with a budget of $210 million, and was consequently the most expensive film made at the time of its release. It had extensive visual effects created by 11 different companies.
X-Men: The Last Stand was released on May 26, 2006, by 20th Century Fox. It grossed approximately $459 million worldwide, becoming the seventh-highest-grossing film of 2006; it was at the time the highest-grossing film in the series and currently the fourth-highest-grossing film of the franchise. Critical reception was mixed, with the acting, musical score and the action scenes receiving positive notice, and criticism directed at the screenplay, overuse of characters, style and lack of dynamics."
Blade Runner 2049,"Blade Runner 2049    Blade Runner 2049 is a 2017 American science f...
Blade Runner 2049    Blade Runner 2049 is a 2017 American science f...
Blade Runner 2049    Blade Runner 2049 is a 2017 American science f...
dtype: object"
2001: A Space Odyssey (film),"2001: A Space Odyssey (film)    2001: A Space Odyssey is a 1968 epic science f...
2001: A Space Odyssey (film)    2001: A Space Odyssey is a 1968 epic science f...
dtype: object"
Léon: The Professional,"Léon: The Professional (French: Léon), titled Leon in the UK and Australia (and originally titled The Professional in the US), is a 1994 English-language French action-thriller film written and directed by Luc Besson. It stars Jean Reno, Gary Oldman, and Natalie Portman (in her film debut). The plot follows Léon (Reno), a professional hitman, who reluctantly takes in 12-year-old Mathilda (Portman), after her family is murdered by corrupted Drug Enforcement Administration agent Norman Stansfield (Oldman). Léon and Mathilda form an unusual relationship, as she becomes his protégée and learns the hitman's trade."
Green Lantern (film),"Green Lantern is a 2011 American superhero film based on the DC Comics character of the same name. The film stars Ryan Reynolds, Blake Lively, Peter Sarsgaard, Mark Strong, Angela Bassett and Tim Robbins, with Martin Campbell directing a script by Greg Berlanti and comic book writers Michael Green and Marc Guggenheim, which was subsequently rewritten by Michael Goldenberg. The film tells the story of Hal Jordan, a test pilot who is selected to become the first human member of the Green Lantern Corps. Hal is given a ring that grants him superpowers, and must confront Parallax, who threatens to upset the balance of power in the universe.
The film first entered development in 1997; progress remained stalled until Greg Berlanti was hired to write and direct in October 2007. Martin Campbell was brought on board in February 2009 after Berlanti was forced to vacate the director's position. Most of the live-action actors were cast between July 2009 and February 2010, and filming took place from March to August 2010 in Louisiana. The film was converted to 3D during its post-production stage.
Green Lantern was released on June 17, 2011, and received generally negative reviews; most criticized the film for its screenplay, inconsistent tone, choice and portrayal of villains, and its use of CGI, while some praised Reynolds' performance. Reynolds would later voice his dissatisfaction with the film. The film underperformed at the box office, grossing $219 million against a production budget of $200 million. Due to the film's negative reception and disappointing box office performance, Warner Bros. canceled any plans for a sequel."
Cats (musical),"Cats is a sung-through musical composed by Andrew Lloyd Webber, based on the 1939 poetry collection Old Possum's Book of Practical Cats by T. S. Eliot. It tells the story of a tribe of cats called the Jellicles and the night they make the ""Jellicle choice,"" deciding which cat will ascend to the Heaviside Layer and come back to a new life. The musical includes the well-known song ""Memory"" as sung by Grizabella. As of 2019, Cats remains the fourth-longest-running Broadway show and the sixth-longest-running West End show.
Lloyd Webber began setting Eliot's poems to music in 1977 and the compositions were first presented as a song cycle in 1980. Producer Cameron Mackintosh then recruited director Trevor Nunn and choreographer Gillian Lynne to turn the songs into a complete musical. Cats opened to positive reviews at the New London Theatre in the West End in 1981 and then to mixed reviews at the Winter Garden Theatre on Broadway in 1982. It won numerous awards including Best Musical at both the Laurence Olivier and Tony Awards. Despite its unusual premise that deterred investors initially, the musical turned out to be an unprecedented commercial success, with a worldwide gross of US$3.5 billion by 2012. 
The London production ran for 21 years and 8,949 performances, while the Broadway production ran for 18 years and 7,485 performances, making Cats the longest-running musical in both theatre districts for a number of years. Cats has since been revived in the West End twice and on Broadway once. It has also been translated into multiple languages and performed around the world many times. Long-running foreign productions include a 15-year run at the Operettenhaus in Hamburg that played over 6,100 performances, as well as an ongoing run in a purpose-built theatre in Japan that has played over 10,000 performances since it opened in 1983.
Cats started the megamusical phenomenon, establishing a global market for musical theatre and directing the industry's focus to big-budget blockbusters, as well as family- and tourist-friendly shows. The musical's profound but polarising influence also reshaped the aesthetic, technology, and marketing of the medium. Cats was adapted into a direct-to-video film in 1998, and a feature film adaptation directed by Tom Hooper in 2019."
The Big Lebowski,"The Big Lebowski () is a 1998 crime comedy film written, produced, and directed by Joel and Ethan Coen. It stars Jeff Bridges as Jeffrey ""The Dude"" Lebowski, a Los Angeles slacker and avid bowler. He is assaulted as a result of mistaken identity, after which The Dude learns that a millionaire (also named Jeffrey Lebowski) was the intended victim. The millionaire Lebowski's trophy wife is kidnapped, and he commissions The Dude to deliver the ransom to secure her release; the plan goes awry when the Dude's friend Walter Sobchak (John Goodman) schemes to keep the ransom money. Julianne Moore, Steve Buscemi, David Huddleston, John Turturro and Philip Seymour Hoffman also appear, in supporting roles.
The film is loosely inspired by the work of Raymond Chandler. Joel Coen stated, ""We wanted to do a Chandler kind of story – how it moves episodically, and deals with the characters trying to unravel a mystery, as well as having a hopelessly complex plot that's ultimately unimportant."" The original score was composed by Carter Burwell, a longtime collaborator of the Coen brothers.
The Big Lebowski was a disappointment at the U.S. box office and received mixed reviews at the time of its release. Over time, reviews have become largely positive, and the film has become a cult favorite, noted for its eccentric characters, comedic dream sequences, idiosyncratic dialogue, and eclectic soundtrack. In 2014, the film was selected for preservation in the National Film Registry by the Library of Congress, being deemed ""culturally, historically, or aesthetically significant"". A spin-off based on John Turturro's character, titled The Jesus Rolls, was released in 2019 with Turturro also acting as writer and director."
The Prestige (film),"The Prestige (film)    The Prestige is a 2006 British-American psycho...
The Prestige (film)    The Prestige is a 2006 British-American psycho...
dtype: object"
Akira (1988 film),"Akira (Japanese: アキラ Hepburn: Akira) is a 1988 Japanese animated post-apocalyptic cyberpunk film directed by Katsuhiro Otomo, produced by Ryōhei Suzuki and Shunzō Katō, and written by Otomo and Izo Hashimoto, based on Otomo's 1982 manga of the same name. The film had a production budget of ¥1.1 billion ($9 million), making it the most expensive anime film of its time.Set in a dystopian 2019, Akira tells the story of Shōtarō Kaneda, a leader of a  biker gang whose childhood friend, Tetsuo Shima, acquires incredible telekinetic abilities after a motorcycle accident, eventually threatening an entire military complex amidst chaos and rebellion in the sprawling futuristic metropolis of Neo-Tokyo. While most of the character designs and settings were adapted from the manga, the plot differs considerably and does not include much of the last half of the manga. The soundtrack, which draws heavily from traditional Indonesian gamelan as well as Japanese noh music, was composed by Shōji Yamashiro and performed by Geinoh Yamashirogumi.
Akira premiered in Japan on July 16, 1988 by Toho, but was initially unable to recoup its budget. It was released the following year in the United States by pioneering animation distributor Streamline Pictures. It garnered an international cult following after various theatrical and VHS releases, eventually earning over $80 million worldwide from home video sales. It is widely regarded by critics as one of the greatest animated and science fiction films ever made, as well as a landmark in Japanese animation. It is also a pivotal film in the cyberpunk genre, particularly the Japanese cyberpunk subgenre, as well as adult animation. The film had a significant impact on popular culture worldwide, paving the way for the growth of anime and Japanese popular culture in the Western world as well as influencing numerous works in animation, comics, film, music, television and video games."
Clerks,"Clerks is a 1994 American independent black and white buddy comedy film written, directed, and co-produced by Kevin Smith. Starring Brian O'Halloran and Jeff Anderson, it presents a day in the lives of titular store clerks Dante Hicks (O'Halloran) and Randal Graves (Anderson), along with their acquaintances. Clerks is the first of Smith's View Askewniverse films, and introduces several recurring characters, notably Jay and Silent Bob (Jason Mewes and Smith).
Clerks was shot for $27,575 in the convenience and video stores where director Smith worked in real life. Upon its theatrical release, the film received generally positive reviews and grossed over $3 million in theaters, launching Smith's career. The film is considered a landmark in independent filmmaking and, in 2019, was selected for preservation in the National Film Registry by the Library of Congress, who deemed it ""culturally, historically, or aesthetically significant""."
Who Wants to Be a Millionaire? (British game show),"Who Wants to Be a Millionaire? is a British television quiz show, created and formerly produced by David Briggs, and made for the ITV network. On air since September 1998 and devised by Briggs, the show's format sees contestants taking on multiple-choice questions based upon general knowledge, winning a cash prize for each question they answer correctly, with the amount offered increasing as they take on more difficult questions. To assist each contestant who takes part, they are given lifelines to use, may walk away with the money they already have won if they wish not to risk answering a question, and are provided with a safety net that gives them a guaranteed cash prize if they give an incorrect answer, provided they reach a specific milestone in the quiz.
The original series aired for 30 series and aired a total of 592 episodes, from 4 September 1998 to 11 February 2014, and was presented by Chris Tarrant. Over the course of its initial run, the show had five contestants achieve the ultimate aim and walk away with the cash prize of £1 million. The original format of the programme was tweaked in later years; this included changing the number of questions from fifteen to twelve, altering the payout structure and later incorporating a time limit which included an attainable fourth lifeline. There were several controversies during its run, including an attempt by a contestant to defraud the show of its top prize.
Four years after the original series ended, ITV announced that the series would be revived, this time produced by Stellify Media, to commemorate the 20th anniversary of the programme. The revival was based closely on the show’s original format. It was hosted by Jeremy Clarkson and filmed at Dock10 studios. The success of the revival series has ensured that subsequent series of the show have been commissioned, and in January 2019 the show reached the milestone of 600 episodes since first appearing on air.
The game show became one of the most significant shows in British popular culture, ranking 23rd in a list of the 100 Greatest British Television Programmes compiled in 2000 by the British Film Institute. It was the highest quiz programme to appear on the list. Its success led to versions in many other countries under an international franchise of the same name, all of which follow the same general format, though with some versions including unique differences in gameplay and lifelines provided."
Braveheart,"Braveheart is a 1995 American epic historical fiction war film directed and co-produced by Mel Gibson, who portrays William Wallace, a late-13th-century Scottish warrior. The film depicts the life of Wallace leading the Scots in the First War of Scottish Independence against King Edward I of England. The film also stars Sophie Marceau, Patrick McGoohan and Catherine McCormack. The story is inspired by Blind Harry's 15th century epic poem The Actes and Deidis of the Illustre and Vallyeant Campioun Schir William Wallace and was adapted for the screen by Randall Wallace.
Development on the film initially started at Metro-Goldwyn-Mayer when producer Alan Ladd Jr. picked up the project from Wallace, but when MGM was going through new management, Ladd left the studio and took the project with him. Despite initially declining, Gibson eventually decided to direct the film, as well as star as Wallace. The film was filmed in Scotland and Ireland from June to October 1994 with a budget around $65–70 million. Braveheart, which was produced by Gibson's Icon Productions and The Ladd Company, was distributed by Paramount Pictures in North America and by 20th Century Fox internationally.
Released on May 24, 1995, Braveheart received generally positive reviews from critics, who praised the performances, directing, production values, battle sequences, and musical score, but criticized its historical inaccuracies, especially regarding Wallace's title, love interests, and attire. The film grossed $75.6 million in the US and grossed $210.4 million worldwide. At the 68th Academy Awards, the film was nominated for ten Academy Awards and won five: Best Picture, Best Director, Best Cinematography, Best Makeup, and Best Sound Effects Editing. A spin-off sequel, Robert the Bruce, was released in 2019, with Angus Macfadyen reprising his role."
